UniqueCount	AmbigCount
1866170	375404
1830198	602536
1643763	584805
2155675	549397
63042	15638
1640074	687822
459	422535
35243	374
4	2094
0	6974
41	3296
4683	287551
48	93307
28	6730
0	888
19	174379
3	554
0	6746
4	2268
0	4477
1	4742
9	6915
3	3257
0	708
1	25649
3	4017
2	604
0	0
0	3389
5954	7800
0	195
0	1328
2	949
1	12769
1	33470
3	6227
0	396
8	9903
0	180
0	48
0	147
1	2344
0	140877
0	1629
0	171
0	173
0	0
0	49
3	748
0	3168
0	75
0	1030
0	193
0	91
0	970
0	1816
0	0
0	2543
1	124
1	127
0	0
0	269
0	40
1	151
0	95
17	21607
2	753
0	28
0	57
0	715
0	0
0	451
0	1
0	79
1	254
2	3691
0	307
5	21556
0	752
0	30
0	17
0	712
0	201
0	55
1	2596
0	57
0	64
4	2960
0	178
0	108
5	61
0	116
0	73
0	36
0	50
8	757
0	1960
0	31227
6	24599
0	7
0	28
0	27
0	128
0	14
0	3
3	746
0	0
0	725
0	67
0	29
0	22
0	202
0	4688
0	57
0	2
0	1968
0	390
0	481
0	203
9	20094
0	625
0	296
0	0
0	117
0	0
0	131
0	0
0	143
0	232
2	112
1	1603
0	78
2	102
1	243
1	603
0	43
0	7
0	868
0	1010
10	18
0	43
0	0
0	5
0	9
0	7
0	3
0	11
2	508
1	505
0	239
0	7
0	10
0	5
0	164
0	178
1	179
80	2494
0	1
0	27
1	500
0	1
0	68
0	104
0	118
0	336
1	100
0	112
0	41
0	2
0	0
0	196
0	0
0	2037
0	1608
0	4
0	9
0	5
0	231
0	0
0	0
0	331
0	12
17	25662
0	156
0	31
0	68
0	105
3	167
0	0
0	5
0	7
0	227
0	46
0	209
0	20
0	66
0	848
0	158
0	0
0	142
0	0
0	0
0	0
0	23
0	171
0	132
0	178
0	157
0	161
0	10
0	1295
0	0
0	4
0	238
0	46
0	64
0	144
0	72
0	132
0	24
0	133
0	6
0	320
0	194
2	187
0	3
0	356
0	0
29	31798
0	103
0	35
0	95
0	221
6	14042
0	1
0	154
0	118
0	0
0	2
0	1217
0	3
0	6
0	168
1	1
0	3
0	33
0	0
0	38
1	17
0	45
0	14
0	87
0	208
0	0
0	9
0	118
0	1539
0	151
0	0
0	260
0	296
345	2292
0	170
0	67
0	4
0	334
1	1702
0	6
0	0
0	0
0	742
0	168
0	0
0	187
0	198
0	15
0	8
0	2
0	0
1	41
5	31
0	59
0	0
0	321
0	4
0	17
0	143
1	187
0	9
0	55
0	33
0	397
0	4
0	105
0	121
0	1
0	166
0	2
0	57
0	15
0	289
0	0
0	0
0	0
0	6
0	3
0	25
0	157
0	3
0	0
0	158
0	175
0	0
21	27377
0	0
0	3
0	102
0	35
0	0
3	6743
0	21
0	69
1	30
0	1
0	2
0	0
0	47
0	0
0	1953
0	21
0	6
0	0
0	6151
0	3
0	57
0	382
0	232
0	55
0	144
0	8
0	590
0	155
0	167
1	1736
0	0
0	0
0	171
0	6
0	21
0	2
0	46
0	79
0	94
0	103
32	9331
0	1609
0	1286
0	1
0	38
0	3
2	9216
0	0
0	408
0	81
0	98
0	90
0	15
0	0
0	2
0	6
0	1156
0	0
0	0
0	0
0	3
0	3
0	61
0	5
0	9
0	79
0	0
0	19
1	99
0	2
0	70
0	100
0	150
0	8
2	589
0	194
0	0
0	190
0	5
0	17
0	21
82	48894
0	93
5	13035
0	123
0	31
0	56
0	115
1	20506
0	0
0	1
0	9
0	56
0	21
0	12
0	115
0	88
0	141
0	3
1	251
0	24
0	0
0	2636
0	6
0	0
0	72
2	11
0	164
0	114
0	4
0	8
0	159
0	111
0	0
0	4
0	0
0	637
0	2
0	3
0	0
0	1
0	112
0	1773
0	166
0	890
0	5
0	1898
0	14
0	0
0	774
0	0
0	14
0	0
0	4
0	43
0	54
0	90
1	111
0	50
0	4
0	3
0	57
0	3
0	3
0	688
2	1220
0	36
0	1
0	13
0	5
0	21
0	58
0	197
1	36
0	4
0	4
0	33
0	139
0	0
0	10
0	0
0	203
0	245
1	23
0	14
0	28
0	3
0	4
0	3
0	3
0	3
0	541
0	138
0	146
0	19
0	81
0	7
0	107
1	0
0	698
0	3
0	0
0	1
0	4
0	115
0	57
0	1
0	5
0	0
0	0
0	635
0	10
0	155
0	13
0	125
0	11
0	3
0	5
0	4
0	99
0	613
0	4
0	53
0	733
0	0
0	38
0	0
0	0
1	12888
0	26
0	2
13	1610
0	157
0	0
0	102
150	60230
0	0
0	1066
0	7
0	4
0	148
0	20
0	7
0	13
0	4
0	56
0	8
0	0
0	264
0	80
1	785
1	19
0	111
0	0
0	3
3	35
0	0
0	141
0	0
0	131
0	2
0	0
0	115
0	154
0	4
0	0
0	103
0	51
0	5
0	0
0	13
0	61
0	3
0	3
0	29
0	78
0	1045
0	3
0	10
1	53
0	43
0	10
0	8
0	57
3	107
0	1082
305	3984
2	23798
0	85
0	8
0	0
1	235
0	78
0	9
0	65
0	3
0	75
0	86
0	240
0	13
0	2
0	64
1	18
0	17
0	3
0	202
0	4
0	0
0	15
0	0
0	3
0	71
1	118
0	162
0	3
0	2
1	14
0	48
0	2
0	18
0	2
0	2
0	4
0	96
1	3
0	121
0	2
0	0
0	4
0	0
0	3
0	3
0	0
0	0
0	3
0	1
0	128
0	1
0	2
0	3
0	116
0	72
0	0
0	2
0	1063
2	27
0	5
0	5
0	12
0	21
0	23
0	4
0	0
0	3
0	59
0	85
0	2
1	540
0	5
0	58
0	223
0	70
0	3
0	77
0	5
0	3
0	0
0	4
0	65
0	3
0	136
0	3
0	0
0	4
0	17
0	30
0	163
0	0
0	79
0	4
0	4
0	3
0	14
0	2
0	0
0	142
0	129
0	0
0	13
0	2
0	43
0	30
0	3
0	135
0	71
0	3
1	137
0	1828
0	94
2	1122
0	0
0	86
0	136
0	4
0	2
0	132
0	30
11	64281
0	0
0	2
1	8
0	2
0	0
0	126
0	6174
0	45
0	22
0	3
1	1048
0	3
1	778
0	90
0	16
0	1543
0	2
6	23
0	37
0	4
1	96
0	3
0	1
0	0
0	0
0	1
1	4737
0	207
0	7
0	184
0	109
0	3
0	13
0	32
1	1963
0	1
0	7
0	4
0	2
1	22
0	42
0	116
0	6
0	3
0	14
0	43
0	15
0	3
7	82081
1	84
1	625
0	176
0	15
0	94
0	28
0	3
1	20007
0	2
0	28
0	25
0	39
0	894
0	2
0	4
0	0
0	870
0	4
0	3
0	3
0	71
0	58
0	66
0	4
4	16343
0	2
0	13
0	1
0	291
0	25
0	1493
0	2
0	0
0	13
0	3
0	23
0	3
0	26
0	0
0	4
0	2
0	1317
0	0
1	92
0	2
0	2
0	1
0	312
0	3
0	0
0	32
0	2435
0	806
0	3
0	13
0	3
0	65
0	4
0	3
0	66
0	42
0	2
0	3
0	3
0	0
0	2
2	313
0	21
0	34
0	3
0	2
0	4
0	564
0	3
0	4
0	2
0	0
0	0
0	2
0	3
0	3
0	47
0	19
0	3
0	2
0	2
9	21129
0	0
0	25
0	28
3	344
0	4
0	8
0	2
0	0
0	1
0	2
0	3
0	3
0	3
0	201
0	0
0	3
0	49
0	9
0	0
0	39
0	18
0	2
0	8
1	21
0	62
0	332
0	7
0	0
0	3
0	2
0	0
0	2
0	11
0	14
5	2523
0	3
0	3
0	87
0	5
0	1252
0	4
0	3
0	2
0	0
0	2
0	119
0	0
6	35899
0	2
0	3
0	2
0	3
0	0
0	0
0	0
0	7
0	4
0	73
0	3
0	1495
0	143
0	3
1	361
0	3
0	0
0	54
0	3
0	0
0	2
0	3
0	0
0	5
0	2
0	3
0	5
0	5
0	3
0	1
0	0
