chr2L	8117	8192	+
chr2L	11345	11409	-
chr2L	11345	11778	-
chr2L	11519	11778	-
chr2L	12222	12285	-
chr2L	12929	13519	-
chr2L	13626	13682	-
chr2L	14875	14932	-
chr2L	15712	17052	-
chr2L	15712	19879	-
chr2L	15712	19884	-
chr2L	17213	18025	-
chr2L	17213	18260	-
chr2L	17213	19879	-
chr2L	17213	21135	-
chr2L	18169	18260	-
chr2L	20016	20830	-
chr2L	20016	21065	-
chr2L	20016	21135	-
chr2L	20021	21065	-
chr2L	20021	21135	-
chr2L	20974	21065	-
chr2L	21201	21348	-
chr2L	22688	22742	-
chr2L	22936	22993	-
chr2L	22942	22997	+
chr2L	23874	23928	-
chr2L	24211	24746	-
chr2L	26689	26765	-
chr2L	26965	27052	-
chr2L	27491	28014	-
chr2L	27491	28410	-
chr2L	28241	28732	-
chr2L	28640	28732	-
chr2L	28927	28981	-
chr2L	29069	30393	-
chr2L	29069	33844	-
chr2L	29069	34557	-
chr2L	29069	35745	-
chr2L	33271	33844	-
chr2L	33271	34557	-
chr2L	34289	34557	-
chr2L	34605	34719	-
chr2L	34913	35745	-
chr2L	35213	35745	-
chr2L	35213	38534	-
chr2L	38299	38534	-
chr2L	38732	39300	-
chr2L	39858	58080	-
chr2L	58177	59189	-
chr2L	58183	58248	-
chr2L	58183	58958	-
chr2L	58183	59189	-
chr2L	58183	65345	-
chr2L	58194	59189	-
chr2L	58351	59189	-
chr2L	58732	59189	-
chr2L	66613	66675	+
chr2L	67004	67388	+
chr2L	67112	67388	+
chr2L	67138	67388	+
chr2L	67508	67568	+
chr2L	67763	67891	+
chr2L	68024	68084	+
chr2L	70550	70606	+
chr2L	71805	71949	+
chr2L	72082	74902	+
chr2L	72978	74902	+
chr2L	73643	73754	-
chr2L	73693	73819	+
chr2L	73693	74902	+
chr2L	73898	74902	+
chr2L	74573	74902	+
chr2L	75019	75077	+
chr2L	77584	77641	+
chr2L	84278	87019	-
chr2L	94893	94988	+
chr2L	95071	95131	+
chr2L	95302	95353	+
chr2L	97834	97883	+
chr2L	98471	98526	+
chr2L	99724	99784	+
chr2L	100517	100571	+
chr2L	100704	100761	+
chr2L	100943	101015	+
chr2L	101195	101248	+
chr2L	101620	101875	+
chr2L	102907	103005	+
chr2L	103435	103515	+
chr2L	103435	103877	+
chr2L	104948	105004	-
chr2L	105337	105390	-
chr2L	105456	105511	-
chr2L	105916	105968	-
chr2L	107001	107764	+
chr2L	107839	108587	+
chr2L	107957	108587	+
chr2L	108102	108587	+
chr2L	108227	108587	+
chr2L	108347	108587	+
chr2L	108810	110405	+
chr2L	109794	110405	+
chr2L	110484	110754	+
chr2L	110878	111004	+
chr2L	110878	111906	+
chr2L	110878	112689	+
chr2L	111118	111906	+
chr2L	111118	112689	+
chr2L	112020	112689	+
chr2L	113370	113433	+
chr2L	114992	155545	+
chr2L	114992	155566	+
chr2L	114992	155637	+
chr2L	117760	117819	-
chr2L	118077	118135	-
chr2L	118305	118360	-
chr2L	118875	118930	-
chr2L	119077	119133	-
chr2L	119236	119287	-
chr2L	119236	119430	-
chr2L	119376	119430	-
chr2L	119555	119827	-
chr2L	120081	120167	-
chr2L	120081	120420	-
chr2L	120081	121632	-
chr2L	120266	120510	-
chr2L	120365	120420	-
chr2L	122995	123080	-
chr2L	123073	123139	+
chr2L	123259	123324	+
chr2L	123630	123693	-
chr2L	123795	123855	-
chr2L	124025	124086	-
chr2L	124921	125076	-
chr2L	125267	126109	-
chr2L	126228	128799	-
chr2L	128943	130507	-
chr2L	132256	132475	+
chr2L	136217	136272	+
chr2L	138591	138668	-
chr2L	139199	139255	-
chr2L	139386	139441	-
chr2L	139688	139740	-
chr2L	139955	140113	-
chr2L	141341	141395	-
chr2L	141610	141661	-
chr2L	141610	141670	-
chr2L	142663	142723	-
chr2L	145911	147348	-
chr2L	145911	147354	-
chr2L	147455	147510	-
chr2L	147711	147764	-
chr2L	147937	147994	-
chr2L	148038	148091	-
chr2L	148174	148337	-
chr2L	148826	148878	-
chr2L	149227	151114	-
chr2L	155060	155127	-
chr2L	155179	155249	+
chr2L	155411	155465	+
chr2L	155430	155545	+
