60432	100
8116	8191	1	2	0	1
11344	11408	2	0	2	2
11344	11777	2	0	1	2
11518	11777	2	2	1	2
12221	12284	2	0	0	2
12928	13518	2	0	1	2
13625	13681	2	0	1	2
14874	14931	2	0	2	2
15711	17051	2	0	2	2
15711	19878	2	0	2	2
15711	19883	2	0	0	2
17212	18024	2	0	1	2
17212	18259	2	0	2	2
17212	19878	2	0	2	2
17212	21134	2	0	1	2
18168	18259	2	0	2	2
20015	20829	2	0	1	2
20015	21064	2	0	2	2
20015	21134	2	0	1	2
20020	21064	2	0	2	2
20020	21134	2	0	1	2
20973	21064	2	0	2	2
21200	21347	2	0	0	2
22687	22741	2	0	0	2
22935	22992	2	0	0	2
22941	22996	1	0	1	1
23873	23927	2	1	0	2
24210	24745	2	0	2	2
26688	26764	2	1	1	2
26964	27051	2	0	2	2
27490	28013	2	0	0	2
27490	28409	2	0	0	2
28240	28731	2	1	1	2
28639	28731	2	1	1	2
28926	28980	2	0	0	2
29068	30392	2	0	2	2
29068	33843	2	0	2	2
29068	34556	2	0	2	2
29068	35744	2	0	2	2
33270	33843	2	0	2	2
33270	34556	2	0	2	2
34288	34556	2	1	2	2
34604	34718	2	0	2	2
34912	35744	2	1	2	2
35212	35744	2	0	4	2
35212	38533	2	0	2	2
38298	38533	2	0	2	2
38731	39299	2	0	2	2
39857	58079	2	0	2	2
58176	59188	2	0	1	2
58182	58247	2	0	1	2
58182	58957	2	0	1	2
58182	59188	2	0	1	2
58182	65344	2	0	3	2
58193	59188	2	0	1	2
58350	59188	2	0	1	2
58731	59188	2	0	1	2
66612	66674	1	0	0	1
67003	67387	1	1	0	1
67111	67387	1	0	0	1
67137	67387	1	0	0	1
67507	67567	1	0	0	1
67762	67890	1	0	3	1
68023	68083	1	1	0	1
70549	70605	1	0	0	1
71804	71948	1	0	0	1
72081	74901	1	0	1	1
72977	74901	1	0	1	1
73642	73753	2	1	0	2
73692	73818	1	0	0	1
73692	74901	1	0	1	1
73897	74901	1	2	1	1
74572	74901	1	2	1	1
75018	75076	1	2	2	1
